,name,ykiho,top5
14,오라클피부과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,"['건선', '백반증', '알레르기질환', '탈모', '화상']"
15,수산부인과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz,"['방광염', '불임', '빈혈', '성매개감염병', '질염']"
16,영등포재활의학과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz,"['거북목(일자목)증후군', '골절', '관절병증', '오십견', '척추질환']"
17,셀빙강내과의원,JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQzNjEwMDIjNjEjJDEjJDAjJDgz,"['고지혈증', '고혈압', '골다공증', '당뇨병', '위식도 역류질환']"
18,하이이비인후과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,"['감기', '난청', '비염', '알레르기질환', '호흡계통의 질환']"
19,세종청사 부속의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEyMjIjNDEjJDEjJDQjJDgz,"['감기', '고지혈증', '고혈압', '당뇨병', '안구건조증']"
20,드림연합의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzIxIyQyIyQ1IyQwMCQyNjE4MzIjNjEjJDEjJDAjJDgz,"['고혈압', '당뇨병', '알레르기질환', '장염', '호흡계통의 질환']"
21,이젠의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,"['대상포진', '알레르기질환', '탈모', '티눈', '화상']"
22,미소의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,"['대상포진', '알레르기질환', '전립선증식증', '티눈', '화상']"
23,안상호재활의학과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,"['거북목(일자목)증후군', '관절병증', '근막통증증후군', '오십견', '척추질환']"
24,미래이비인후과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQyIyQ5IyQwMCQzNjEyMjIjNDEjJDEjJDgjJDgz,"['감기', '난청', '비염', '이명', '호흡계통의 질환']"
25,신일가정의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,"['감기', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
26,상쾌한이비인후과의원,JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,"['감기', '난청', '알레르기질환', '중이염', '호흡계통의 질환']"
27,미사아산내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '장염']"
28,오라클피부과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQyIyQ3IyQwMCQzNjEyMjIjNDEjJDEjJDgjJDgz,"['건선', '대상포진', '알레르기질환', '탈모', '화상']"
29,최안과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,"['각막염', '녹내장', '망막(맥락막·유리체) 질환', '백내장', '영양결핍']"
30,길이비인후과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,"['감기', '비염', '이명', '중이염', '호흡계통의 질환']"
31,정동국내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,"['고혈압', '관절병증', '당뇨병', '알레르기질환', '호흡계통의 질환']"
32,조정형외과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNjEjJDEjJDQjJDgz,"['거북목(일자목)증후군', '관절병증', '근막통증증후군', '척추질환', '호흡계통의 질환']"
33,오내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,"['고혈압', '당뇨병', '정신및행동장애', '치매', '호흡계통의 질환']"
34,서종내과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
35,소망내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
36,최희정내과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
37,백수진미의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQyIyQzIyQwMCQ0NjE0ODEjODEjJDEjJDYjJDgz,"['감기', '고혈압', '알레르기질환', '위식도 역류질환', '정신및행동장애']"
38,한국정형외과의원,JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4MiQzNjE0ODEjNDEjJDEjJDQjJDgz,"['골절', '관절병증', '발목염좌긴장', '척추질환', '테니스 엘보']"
39,삼성웰내과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,"['고지혈증', '고혈압', '비염', '알레르기질환', '장염']"
40,엘르산부인과의원,JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz,"['갑상선기능저하증', '골다공증', '방광염', '성매개감염병', '질염']"
41,우리연합정형외과신경외과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,"['골다공증', '골절', '관절병증', '오십견', '척추질환']"
42,구의연세정신건강의학과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz,"['ADHD(과활동성 주의력 결핍장애)', '우울증', '정신및행동장애', '조울증', '파킨슨증']"
43,㈜대한항공부속의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjODEjJDEjJDYjJDgz,"['감기', '고지혈증', '고혈압', '비염', '척추질환']"
44,아틀라스의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,"['거북목(일자목)증후군', '발목염좌긴장', '손목터널증후군', '척추질환', '테니스 엘보']"
45,무주한양내과의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,"['감기', '고혈압', '당뇨병', '위식도 역류질환', '척추질환']"
46,가온삼성가정의학과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjEwMDIjODEjJDEjJDYjJDgz,"['고혈압', '당뇨병', '비염', '장염', '호흡계통의 질환']"
47,쿨맨남성의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,"['방광염', '성매개감염병', '순환계통의 질환', '신경인성 방광', '전립선증식증']"
48,에디슨 소아청소년과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDIjJDgz,"['감기', '비염', '알레르기질환', '장염', '호흡계통의 질환']"
49,분당미소가인피부과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQwMyQyNjEwMDIjNjEjJDEjJDgjJDgz,"['대상포진', '알레르기질환', '탈모', '티눈', '화상']"
50,함춘내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,"['고혈압', '당뇨병', '알레르기질환', '위식도 역류질환', '호흡계통의 질환']"
51,계수내과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz,"['고혈압', '당뇨병', '비염', '알레르기질환', '척추질환']"
52,베스트이비인후과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjODEjJDEjJDIjJDgz,"['감기', '난청', '비염', '위식도 역류질환', '호흡계통의 질환']"
53,다산정내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNTEjJDEjJDIjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '장염']"
54,김정은내과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '척추질환']"
55,힘찬마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,"['거북목(일자목)증후군', '관절병증', '발목염좌긴장', '척추질환', '테니스 엘보']"
56,성모센트라스정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,"['거북목(일자목)증후군', '관절병증', '발목염좌긴장', '척추질환', '테니스 엘보']"
57,소명의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,"['대상포진', '방광염', '알레르기질환', '전립선증식증', '질염']"
58,서울앤연세이비인후과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,"['감기', '비염', '폐렴', '호흡계통의 질환', '후두염']"
59,청주성모이비인후과의원,JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,"['감기', '비염', '위식도 역류질환', '이명', '호흡계통의 질환']"
60,서울아산신경외과의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,"['거북목(일자목)증후군', '관절병증', '근막통증증후군', '오십견', '척추질환']"
61,이영미유외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ4OSQzNjEyMjIjNTEjJDEjJDYjJDgz,"['갑상선기능저하증', '갑상선기능항진증', '갑상선암', '생활습관병_유방암', '알레르기질환']"
62,다온소아청소년과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,"['감기', '비염', '장염', '중이염', '호흡계통의 질환']"
63,수레실삼성의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ3MiQzNjE4MzIjODEjJDEjJDIjJDgz,"['감기', '고지혈증', '고혈압', '당뇨병', '알레르기질환']"
64,미사정형외과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ2MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,"['거북목(일자목)증후군', '골절', '관절병증', '발목염좌긴장', '척추질환']"
65,예담이비인후과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,"['감기', '비염', '알레르기질환', '위식도 역류질환', '호흡계통의 질환']"
66,권혁철피부과의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzUxIyQyIyQxIyQwMCQyNjEyMjIjNDEjJDEjJDQjJDgz,"['건선', '대상포진', '알레르기질환', '탈모', '화상']"
67,혜인가정의학과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz,"['감기', '고혈압', '비염', '알레르기질환', '호흡계통의 질환']"
68,해평의원,JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz,"['고혈압', '관절병증', '당뇨병', '비염', '척추질환']"
69,이승배내과의원,JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz,"['감기', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
70,전이비인후과의원,JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ3OSQyNjE0ODEjODEjJDEjJDYjJDgz,"['감기', '비염', '알레르기질환', '중이염', '호흡계통의 질환']"
71,척재활의학과의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNzEjJDEjJDgjJDgz,"['관절병증', '발목염좌긴장', '손목터널증후군', '척추질환', '테니스 엘보']"
72,현대의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,"['고혈압', '관절병증', '당뇨병', '척추질환', '호흡계통의 질환']"
73,성서정신과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,"['건강염려증', '우울증', '정신및행동장애', '조울증', '치매']"
74,안강제일의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQwMyQyNjE0ODEjNjEjJDEjJDQjJDgz,"['감기', '고혈압', '관절병증', '근막통증증후군', '척추질환']"
75,임비뇨기과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,"['건선', '성매개감염병', '알레르기질환', '요실금 ', '전립선증식증']"
76,본비뇨기과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjODEjJDEjJDYjJDgz,"['방광염', '신경인성 방광', '알레르기질환', '전립선증식증', '탈모']"
77,평택사랑외과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '관절병증', '당뇨병', '척추질환']"
78,서울신내과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDIjJDgz,"['고지혈증', '고혈압', '당뇨병', '비염', '정신및행동장애']"
79,하이큐연희내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNjEjJDEjJDAjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
80,두레원의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,"['고혈압', '골다공증', '당뇨병', '알레르기질환', '척추질환']"
81,이윤식이비인후과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,"['감기', '난청', '이명', '중이염', '호흡계통의 질환']"
82,효성의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,"['감기', '고혈압', '관절병증', '당뇨병', '척추질환']"
83,연세참가정의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ5MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,"['감기', '고지혈증', '고혈압', '근막통증증후군', '당뇨병']"
84,서울신경외과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,"['거북목(일자목)증후군', '고혈압', '관절병증', '당뇨병', '척추질환']"
85,교하하나의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDIjJDgz,"['거북목(일자목)증후군', '고혈압', '골절', '관절병증', '척추질환']"
86,남선희산부인과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ4MiQzNjEwMDIjNTEjJDEjJDIjJDgz,"['방광염', '성매개감염병', '신경인성 방광', '질염', '척추질환']"
87,한국건강관리협회건강증진의원,JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '척추질환']"
88,제일산부인과의원,JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,"['방광염', '비만', '성매개감염병', '요실금 ', '질염']"
89,한관지이비인후과의원,JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,"['감기', '비염', '중이염', '호흡계통의 질환']"
90,양승덕이비인후과의원,JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,"['감기', '난청', '비염', '중이염', '호흡계통의 질환']"
91,이동구내과의원,JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,"['감기', '고지혈증', '고혈압', '위식도 역류질환', '호흡계통의 질환']"
92,남원의원,JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,"['고혈압', '관절병증', '알레르기질환', '척추질환', '호흡계통의 질환']"
93,현대내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ3MiQyNjEyMjIjODEjJDEjJDIjJDgz,"['감기', '고지혈증', '고혈압', '당뇨병', '불면증']"
94,세민정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,"['거북목(일자목)증후군', '골절', '관절병증', '발목염좌긴장', '척추질환']"
95,삼성내과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQyIyQxIyQwMCQzNjE0ODEjNDEjJDEjJDQjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
96,정림내과의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjODEjJDEjJDYjJDgz,"['감기', '고혈압', '당뇨병', '위식도 역류질환', '정신및행동장애']"
97,한사랑의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzExIyQyIyQ3IyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz,"['고혈압', '알레르기질환', '정신및행동장애', '척추질환', '호흡계통의 질환']"
98,민이비인후과(이창기)의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,"['감기', '난청', '중이염', '호흡계통의 질환', '후두염']"
99,최광식비뇨기과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,"['다뇨/빈뇨/야뇨 ', '방광염', '빈혈', '영양결핍', '전립선증식증']"
100,속편한내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNjEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '당뇨병', '비염', '위식도 역류질환']"
101,백내과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,"['고혈압', '관절병증', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
102,판교연세내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDgjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '장염']"
103,서울내과의원,JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5MiQzNjEyMjIjODEjJDEjJDIjJDgz,"['고지혈증', '고혈압', '당뇨병', '위식도 역류질환', '호흡계통의 질환']"
104,정구일정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQxMyQyNjEwMDIjNzEjJDEjJDgjJDgz,"['골절', '관절병증', '발목염좌긴장', '손목터널증후군', '척추질환']"
